,tc_value,mmi_value
H3K4me2_H4K5ac_H2BK120ac,0.7553488435686759,-0.20596664197026016
H3K4me2_H4K5ac_H2BK20ac,0.6896505320438493,-0.20592383816966198
H3K4me3_H3K9me1_H3K27me1,0.4556778202639915,-0.20582128180711123
H3K4me2_H2BK20ac_H2BK120ac,0.9617535661222671,-0.20577412520766636
H3K4me1_H3K27me1_H4K20me1,0.46939556034395125,-0.20568948079952776
H3K9me1_H4K20me1_H2BK120ac,0.4310083983787578,-0.20566500178770042
H3K4me1_H3K36ac_H4K91ac,0.7514383128784026,-0.2055612948237382
H3K9me1_H4K5ac_H4K91ac,0.5667525781893854,-0.20538595447831476
H3K4me1_H3K18ac_H4K5ac,0.7243638092518729,-0.20531806200835767
H2AZ_H3K4me1_H2BK20ac,0.4594644823394525,-0.20424528261563424
